ACTION,Attribute Code,Attribute Type,Label,PlaceHolder,Group
ADD,prod_name,TEXT,Product Name,Product Name,Default
ADD,manufacturer,TEXT,Manufacturer,Manufacturer,Default
ADD,brand_name,TEXT,Brand Name,Brand Name,Default
ADD,category,TEXT,Category,Category,Default
ADD,color,TEXT,Color,Color,Default
ADD,summary,TEXTAREA,Summary,Summary,Default
ADD,description,TEXTAREA,Description,Description,Default
ADD,features,TEXTAREA,Key Product Features,Key Product Features,Default
ADD,prod_weight,TEXT,Weight,Weight,Measurement
ADD,ship_weight,TEXT,Shipping Weight,Shipping Weight,Measurement
ADD,width,TEXT,Width,Width,Measurement
ADD,height,TEXT,Height,Height,Measurement
ADD,diameter,TEXT,Diameter,Diameter,Measurement
ADD,pack_quantity,NUMERIC,Package Quantity,Package Quantity,Default
ADD,pack_contents,TEXTAREA,Package Contents,Package Contents,Default
ADD,materials,TEXTAREA,Material Type,Material Type,Default
ADD,bullet_points,TEXTAREA,Bullet Points,Bullet Points,Default
ADD,ratings,NUMERIC,Ratings,Ratings,Default
ADD,warranty,TEXTAREA,Product Warranty,Product Warranty,Default
ADD,ranking,NUMERIC,Product Ranking,Product Ranking,Default
ADD,variation_01,TEXT,Variation 1,Variation 1,Variations
ADD,variation_02,TEXT,Variation 2,Variation 2,Variations
ADD,variation_03,TEXT,Variation 3,Variation 3,Variations
ADD,variation_04,TEXT,Variation 4,Variation 4,Variations
ADD,variation_05,TEXT,Variation 5,Variation 5,Variations
ADD,img_feature,IMAGE,Feature Image,Feature Image,Images
ADD,Img_01,IMAGE,Image 01,Image 01,Images
ADD,Img_02,IMAGE,Image 02,Image 02,Images
ADD,Img_03,IMAGE,Image 03,Image 03,Images
ADD,Img_04,IMAGE,Image 04,Image 04,Images
ADD,review_text_01,TEXTAREA,Review Text 1,Review Text 1,Reviews
ADD,review_text_02,TEXTAREA,Review Text 2,Review Text 2,Reviews
ADD,review_text_03,TEXTAREA,Review Text 3,Review Text 3,Reviews
ADD,review_by_01,TEXTAREA,Reviewer 1,Reviewer 1,Reviews
ADD,review_by_02,TEXTAREA,Reviewer 2,Reviewer 2,Reviews
ADD,review_by_03,TEXTAREA,Reviewer 3,Reviewer 3,Reviews
ADD,question_01,TEXTAREA,Question 1,Question 1,Q_A
ADD,question_02,TEXTAREA,Question 2,Question 2,Q_A
ADD,question_03,TEXTAREA,Question 3,Question 3,Q_A
ADD,question_04,TEXTAREA,Question 4,Question 4,Q_A
ADD,question_05,TEXTAREA,Question 5,Question 5,Q_A
ADD,question_06,TEXTAREA,Question 6,Question 6,Q_A
ADD,answer_01,TEXTAREA,Answer 1,Answer 1,Q_A
ADD,answer_02,TEXTAREA,Answer 2,Answer 2,Q_A
ADD,answer_03,TEXTAREA,Answer 3,Answer 3,Q_A
ADD,answer_04,TEXTAREA,Answer 4,Answer 4,Q_A
ADD,answer_05,TEXTAREA,Answer 5,Answer 5,Q_A
ADD,answer_06,TEXTAREA,Answer 6,Answer 6,Q_A
